time,trajectory_mean_N10000,trajectory_variance_ddof1,trajectory_std_ddof1,trajectory_variance_se_plugin,mean_se_N10000,mean_se_extrapolated_N5000000,exact_mean,archive_mean_N5000000,variance_batch_a_N5000,variance_batch_b_N5000
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.02,0.9696608811550661,0.03841581758015357,0.19599953464269645,0.002716696173902273,0.0019599953464269643,8.765365660387885e-05,0.9703679801504825,0.9703195910598915,0.03839779461339952,0.03844064897922833
0.04,0.9407804375028205,0.07055758179923764,0.26562677161618636,0.0033856316882013926,0.0026562677161618637,0.00011879190359552088,0.941463843325064,0.9414543964707663,0.06982061417420528,0.07130815646538896
0.06,0.9108097218402421,0.10159512968198224,0.31873990914534417,0.00381924926686329,0.0031873990914534417,0.00014254482079821928,0.9132754814379691,0.913287930802713,0.10116101721396227,0.10204950787887858
0.08,0.8841444742769469,0.1283646686571353,0.3582801538700341,0.0041246878270030565,0.003582801538700341,0.00016022775580849612,0.8857908021836061,0.8857339805299621,0.12741537600955447,0.129338884461507
0.1,0.8574021612825649,0.15453823130686226,0.39311350944334417,0.004388549341721825,0.003931135094433442,0.00017580570599776463,0.8589977355654793,0.8589858131701078,0.15432413627217942,0.154778533420227
0.12,0.830826104391224,0.17844741638481393,0.4224303686820041,0.004541060526125621,0.004224303686820041,0.0001889166040266519,0.8328842402472938,0.8327738768549122,0.17714904611716498,0.17978076068437585
0.14,0.8070325624317204,0.19824532901006353,0.44524749186274315,0.004616746581861497,0.004452474918627432,0.00019912073172327564,0.8074383097249733,0.8072616745514446,0.19897320234483637,0.19754750033651505
0.16,0.7833610145931997,0.2165811092899928,0.4653827556861049,0.004648538170091829,0.004653827556861049,0.00020812549545406146,0.7826479783185437,0.7824329990867093,0.21762182126450672,0.21557228371887674
0.18,0.7599515578603588,0.231661821968592,0.4813126031682445,0.0045833009678163785,0.004813126031682445,0.00021524953982231506,0.7585013269830563,0.7582921736002795,0.2315851821693789,0.23176453593555602
0.2,0.7361052159712074,0.24807545332671274,0.4980717351212702,0.0045873242958265215,0.004980717351212702,0.00022274445148048593,0.7349864889379417,0.7348222857466362,0.24701445369945704,0.24916325661812214
0.22,0.7120703080913451,0.2632011056559352,0.513031291107994,0.004577548012515589,0.005130312911079939,0.00022943456830039154,0.7120916551144033,0.7119403836375483,0.26124851450542685,0.26517145465305497
0.24,0.6915180565489475,0.27430541472114955,0.5237417442987999,0.00451724615560081,0.005237417442988,0.0002342244285812859,0.6898050794206582,0.6895888942447143,0.27297437861350843,0.2756589471055582
0.26,0.6698123978797046,0.2870012947845556,0.535725017881894,0.004510392585629932,0.00535725017881894,0.00023958351144624107,0.6681150838250409,0.6680443214073357,0.2852000762778544,0.2888319286670389
0.28,0.6476686581984763,0.2988965083578989,0.546714284025851,0.004489500770452857,0.00546714284025851,0.00024449806067038604,0.6470100632571754,0.6469579799479696,0.29694210888470807,0.3008926201642867
0.3,0.627701534991606,0.30801492335480324,0.5549909218670187,0.004438592437915661,0.005549909218670187,0.00024819948563798566,0.6264784903276082,0.6264279578324006,0.30433468958114335,0.31174942386695076
